ID	LAT	LON	ALT
1	47 24 46.97	8 10 56.32	385
2	46 10 52.74	8 44 33.67	230
3	46 14 29.42	7 19 36.53	760
4	46 22 45.1	8 4 37.77	1310
5	47 35 40.18	8 45 47.72	375
6	47 41 53.78	8 30 45.78	450
7	47 35 40.32	8 45 35.76	375
8	47 35 40.18	8 45 47.72	375
9	47 24 38.87	8 10 56.2	370
10	46 17 13.19	7 33 10.02	530
11	46 18 24.7	7 37 33.35	650
12	46 19 6.66	7 38 36.55	919
13	46 19 27.42	7 46 16.92	1175
14	46 14 53.71	7 19 36.48	870
15	46 18 44.58	7 36 34.12	565
16	46 18 32.07	7 36 20.76	570
17	46 23 2.56	8 58 38.95	355
18	47 35 34.38	8 45 59.55	372
19	47 14 33.78	8 24 28.04	387
20	46 14 4.76	7 22 2.42	593
21	47 35 40.46	8 45 23.8	380
22	46 23 10.65	8 58 39.17	355
23	47 23 0.66	8 50 48.3	660
24	47 32 24.13	7 59 29.37	311
25	47 33 14.66	8 26 42.34	425
26	46 45 49.93	9 26 0.68	680
27	46 31 50.11	9 51 42.27	1780
28	47 14 9.6	8 24 15.71	389
29	47 35 56.37	8 45 48.13	445
30	47 29 53.3	8 6 0.78	495
31	47 15 19.82	7 46 49.69	416
32	45 53 23.95	8 57 25.07	565
33	46 14 7.83	7 21 52.85	570
34	46 18 32.1	7 35 57.39	565
35	46 19 17.91	7 44 6.68	1155
36	47 34 42.03	7 36 0.9	260
37	46 19 31.24	7 43 19.96	1450
38	46 12 36.26	7 24 39.97	740
39	46 19 38.43	7 43 18.18	1525
40	46 19 11.99	7 43 49.4	1045
41	46 19 11.99	7 43 49.4	1045
