ID	CX	CY	ALT
1	656125	251624	337
2	700689	115264	179
3	591374	121124	708
4	649124	136624	1259
5	699624	272374	328
6	680624	283624	403
7	699374	272374	328
8	699624	272374	328
9	656124	251374	322
10	608796	126181	478
11	614428	128400	598
12	615777	129699	867
13	625624	130374	1124
14	591374	121874	818
15	613159	129011	513
16	612874	128624	518
17	718374	138124	305
18	699874	272199	325
19	673374	232874	339
20	594499	120359	541
21	699124	272374	333
22	718374	138374	305
23	706324	249029	612
24	641624	265624	263
25	675754	267524	377
26	752374	181124	631
27	785874	156124	1731
28	673124	232124	341
29	699624	272874	398
30	649849	261029	447
31	625874	233899	367
32	717859	83182	514
33	594294	120454	518
34	612374	128624	513
35	622839	130069	1104
36	612159	269749	212
37	621838	130477	1399
38	597874	117624	688
39	621799	130699	1474
40	622470	129885	994
41	622470	129885	994
	0	0	0
